type,Prob. PT1,Prob. metro1,Prob. taxi1,Prob. more1,Prob. no1,Prob. PT2,Prob. metro2,Prob. taxi2,Prob. more2,Prob. no2
1.540000000000001,304.4777649821292,296.4000126967633,132.80489269586897,72.68781978944479,435.6295098357937,337.2883243169618,345.1994964188534,90.38183615330064,138.59235963724998,330.53798347363414
1.550000000000001,304.742993648198,296.1878720017617,132.4311108110833,72.40554629182726,436.23247724712974,338.0690198341605,344.35174057080866,90.38849315907333,138.2415574320072,330.9491890039503
1.560000000000001,305.00761654880637,295.97510401868414,132.05800000193398,72.12413590063845,436.8351435299371,338.849055379854,343.5039755085372,90.3950602954696,137.89172837140617,331.360180444733
1.570000000000001,305.2716329730648,295.76171147087786,131.6855610834547,71.84358741318466,437.4375070594179,339.62842042348643,342.6562148008316,90.40153705475461,137.54286966140492,331.7709580595224
1.580000000000001,305.5350422182206,295.5476970824285,131.3137948588629,71.56389961992481,438.03956622056324,340.4071044625737,341.8084719825764,90.40792292796829,137.1949785098163,332.18152211706524
1.590000000000001,305.7978435896433,295.33306357810096,130.94270211958045,71.28507130451894,438.6413194081564,341.18509702324405,340.96076055417205,90.41421740493699,136.84805212633657,332.59187289131035
1.600000000000001,306.0600364008108,295.1178136832813,130.57228364525523,71.00710124387744,439.24276502677515,341.96238766077676,340.11309398095926,90.42041997428478,136.50208772257434,333.0020106614049
1.610000000000001,306.3216199732948,294.9019501239188,130.20254020378246,70.7299882082098,439.84390149079417,342.7389659601401,339.2654856926452,90.42653012344499,136.15708251207982,333.41193571168986
1.620000000000001,306.582593636745,294.68547562646796,129.83347255132682,70.4537309610738,440.44472722438644,343.51482153652273,338.41794908273596,90.43254733867202,135.81303371037342,333.8216483316958
1.630000000000001,306.8429567288754,294.4683929178307,129.4650814323445,70.17832825942442,441.045240661525,344.2899440358665,337.5704975079671,90.43847110505308,135.46993853497486,334.23114881613844
1.640000000000001,307.1027085954479,294.25070472529956,129.09736757960582,69.90377885366304,441.6454402459837,345.0643231353918,336.72314428774274,90.44430090652037,135.12779420543194,334.64043746491313
1.650000000000001,307.36184859025747,294.03241377650005,128.73033171421795,69.63008148768664,442.2453244313379,345.8379485441269,335.87590270356986,90.45003622586286,134.78659794334973,335.0495145830907
1.660000000000001,307.6203760751167,293.8135227993335,128.36397454564806,69.3572348989369,442.84489168096485,346.6108100034266,335.0287859985037,90.4556765447391,134.44634697241904,335.45838048091156
1.670000000000001,307.8782904198392,293.5940345219212,127.99829677174671,69.08523781844954,443.4441404680434,347.382897287494,334.18180737659014,90.46122134368913,134.10703851844582,335.86703547378085
1.680000000000001,308.1355910022244,293.3739516725469,127.63329907877164,68.81408897090347,444.0430692755536,348.15420020389547,333.33498000231464,90.46667010214732,133.76866980937973,336.2754798822628
1.690000000000001,308.39227720804115,293.153276979601,127.26898214141157,68.54378707467033,444.64167659627594,348.9247085940751,332.4883170000521,90.47202229845492,133.43123807534332,336.6837140320745
