Prob. PT1,Prob. metro1,Prob. taxi1,Prob. more1,Prob. no1,Prob. PT2,Prob. metro2,Prob. taxi2,Prob. more2,Prob. no2,direct_elas_taxi_source2,direct_elas_m11,direct_elas_m21,direct_elas_m31,direct_elas_m41,direct_elas_m12,direct_elas_m22,direct_elas_m32,direct_elas_m42,direct_elas_l11,direct_elas_l21,direct_elas_l31,direct_elas_l41,direct_elas_l61,direct_elas_l12,direct_elas_l22,direct_elas_l32,direct_elas_l42,direct_elas_l62,type
0.2041611663605824,0.28949524643462243,0.11773752270546935,0.06475440710439138,0.3238516573949346,0.150455208648949,0.5519904065514875,0.0009415358505720517,0.007298328944269525,0.2893145200047221,-0.28279323811638357,0.08668310417865564,0.0,0.0,0.0,0.668321879383925,0.0,0.0,0.0,-0.24394394820148602,0.37528650838669236,-0.011104528604941337,0.02239454988237545,-0.38853121042104544,0.06436421265332835,-0.01608384061657703,0.3074050500559427,-0.002398187006746005,-0.001513294798654979,0.5
0.2409844817188261,0.17198025506227804,0.1290947617748007,0.008398426595989942,0.4495420748481053,0.023148987415396508,0.009390052848601211,0.508648546806979,0.44179067173562525,0.017021741193398183,-0.0005572221055144395,0.11152680920147497,0.0,0.0,0.0,0.0013168763414294236,0.0,0.0,0.0,-0.2974514999692491,0.07228763190534672,-0.02088300655183081,0.04081994008371342,-0.08223401786323033,0.0033264431583242145,-0.03607285511133251,0.016899724644464056,-0.05373107046086728,-0.0037293989892253944,0.5
0.30752117146430286,0.24361560920083047,0.11776528133106877,0.07167884748821003,0.2594190905155882,0.19716551550320394,0.1056461407992231,0.004457322373478952,0.029150538879003457,0.6635804824450908,-0.5906749264090289,0.07070748918911315,0.0,0.0,0.0,1.3959349931845961,0.0,0.0,0.0,-0.18730565679866854,0.29127966817156153,-0.0130300554639268,0.015424546081645002,-0.30003988101883666,0.14150535368977363,-0.2984233494073872,0.7510231820429648,-0.05179433397884032,-0.027936528179516557,0.5
0.27162856349273795,0.4592884981094374,0.06459577635518755,0.006128281485855609,0.19835888055678183,0.0019647896082480437,0.011985400729311766,0.41157742699718175,0.5606488842301841,0.013823498435074334,-0.00019337796152791778,0.059107469087793296,0.0,0.0,0.0,0.0004570078250123555,0.0,0.0,0.0,-0.1312494421657237,0.01565807408041469,-0.00771087209863262,0.005546379429775419,-0.017345951224176617,0.0027014323194675797,-0.036304989060170795,0.014838577935572767,-0.03154123872996176,-0.0036550801674474814,0.5
0.18073705833213338,0.1926104419467906,0.11534605644938631,0.15165308359419855,0.35965335967749146,0.2006085448672318,0.51236462164917,0.002876212915465078,0.0262460812156756,0.25790453935245844,-0.2450394015600862,0.09556640896669706,0.0,0.0,0.0,0.5790986887259006,0.0,0.0,0.0,-0.23797423487266825,0.8695005775242486,-0.010771443968550665,0.022534543584597534,-0.8717314709692291,0.05040053074960849,-0.041657900434676196,0.25605580828031393,-0.005478067266721389,-0.0037956053235933675,0.5
0.29903976201630833,0.4495259740403569,0.07488848221361621,0.0043392609582484495,0.17220652077147058,0.0026823933715243876,0.015226218501606213,0.36591569715135847,0.5960164629061712,0.020159228069340146,-0.0003643710319811478,0.050762647611562454,0.0,0.0,0.0,0.0008611137045168114,0.0,0.0,0.0,-0.1297159907130085,0.010922771400869079,-0.007064466705319004,0.0065075579313571925,-0.012333239781137784,0.0044848521337981125,-0.06638197760105402,0.02141976321701215,-0.04954558301695197,-0.006811854080362483,0.5
0.2337202087172377,0.5265422798748091,0.07809697625096419,0.05469771046746161,0.10694282468952723,0.008459794994844068,0.5466926784342906,0.003664227766925154,0.023065160991297056,0.41811813781264245,-0.3944936287612318,0.03162898683218175,0.0,0.0,0.0,0.9323020774286909,0.0,0.0,0.0,-0.07461073068860727,0.07232817645648293,-0.003210887223383715,0.0032697270150172817,-0.07127022409434342,0.08615469629635553,-0.08187865757365292,0.44882115792535915,-0.014503794141023402,-0.0073323323432397565,0.5
0.18754630465752617,0.3623659137049802,0.13711786406628604,0.07509443453299265,0.23787548303821512,0.04733898576344898,0.08404832910889036,0.04095074075076216,0.34872528486544235,0.47893665951145614,-0.11942755068427068,0.0,0.0,0.0,0.05707884764833142,0.0,0.0,0.0,0.4284793833624711,-0.16299617173540426,0.23926608579439848,-0.00644244631493628,0.014886575994000183,-0.2502831588203348,0.09692506657793672,-1.4638773704457027,0.49319031751900283,-0.20627967616545145,-0.13916371028456018,0.5
0.2142457613422137,0.46995597373364534,0.09301746621836615,0.09010728083629142,0.13267351786948314,0.009856412062835003,0.4302733640364245,0.003048234767317106,0.028425062713846417,0.528396926419578,-0.48767212659422643,0.03838773148472559,0.0,0.0,0.0,1.1525097075852837,0.0,0.0,0.0,-0.09256224660240826,0.15058231148970574,-0.0034775357810643173,0.0052795789723219105,-0.1490253378525407,0.10887802418178162,-0.1556616321647008,0.5246092311011854,-0.01996619480955262,-0.014000339098412173,0.5
0.06425948330900565,0.4494935888264681,0.10717236854057888,0.04097485671442454,0.33809970260952293,0.013818906189636554,0.8830352572281542,0.0011654393928933334,0.005300634182401439,0.09667976300691417,-0.094924691178979,0.0,0.05343596251435807,0.0,0.0,0.0,0.3620879612792038,0.0,0.0,-0.26263516978003537,0.24878510643563953,-0.004139757265642153,0.01954029782977036,-0.2599575860291237,0.02218063509146716,-0.0030168967474698454,0.1140877268368674,-0.0007014710576961102,-0.00028648994483351716,0.5
0.31679733294127227,0.47621971306961614,0.07933550800511838,0.0030162283306322977,0.1246312176533609,0.0014750432469191877,0.010226727762405992,0.5843252778374288,0.38156149027028957,0.022411460882955956,-0.00026529507489841405,0.03673190899184646,0.0,0.0,0.0,0.0006269686794082398,0.0,0.0,0.0,-0.09387949886711047,0.005196243360382799,-0.005122006827295852,0.004718226802362671,-0.0058672394553315535,0.004985909570383069,-0.047353506190208436,0.023812825759451806,-0.08816054191321926,-0.004859228152252573,0.5
0.2335281168835796,0.26125826516582257,0.24618194569789906,0.0471089177345361,0.21192275451816292,0.13312809455194552,0.48573057889740656,0.06906804686480558,0.15700742434967738,0.15506585533616482,-0.11231773252769178,0.0,0.0,0.040228911337315924,0.0,0.0,0.0,0.4772618051459634,0.0,-0.17224550724043683,0.1601223323987939,-0.007599003704249946,0.026335783153152284,-0.1683660029399662,0.037223465016611924,-0.16294368771816256,0.17556695241576442,-0.07944778939781337,-0.0155707974164071,0.5
0.2585104625268693,0.2988768790401728,0.18454269479290658,0.0828509515278616,0.17521901211218943,0.05722432857150655,0.19306211215551308,0.015388089181884305,0.03739328949048027,0.696932180600615,-0.5691825060779155,0.044081942777405334,0.0,0.0,0.0,1.3451422131171786,0.0,0.0,0.0,-0.125678572246412,0.19453218560634086,-0.0062365378658409635,0.013923662423914577,-0.19941937868741116,0.1476389117579659,-0.425186826652347,0.7405106105964985,-0.19800653258064302,-0.03961197646784393,0.5
